Company_Name_cl,License_type_cl,Application_department_cl,Application_date_middle_code_cl,Application_date_cl,Award_date_cl,Expiry_date_cl,Commodity_cl,Area_acre_cl,Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
GREAT GENESIS GEMS COMPANY LIMITED,Sharing,Oo Si,1/07,2007-02-16,2008-10-19,2013-10-18,Jade,70,Kachin State,War Kyae,4,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,868,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,869,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,870,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,888,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,889,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,898,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,908,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,909,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,910,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,928,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,929,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,930,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,947,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,948,
GREAT GENESIS GEMS COMPANY LIMITED,Private,Oo Si,6/11,2011-12-18,2012-01-31,2015-01-30,Jade,1,Kachin State,Whay Khar,946,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,104,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,105,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,106,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,107,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,108,
MYANMAR IMPERIAL JADE (GEMS & JEWELLERY) COMPANY LIMITED,Private,Oo Si,3/10,2010-09-28,2010-10-27,2013-10-26,Jade,1,Kachin State,Taw Mhaw,109,
